9
Ketchup Tomato Sausage Bread Egg Lettuce
3
grapes 7.763203528939162e+18
watermelon 6.855810503105523e+18
onion 3.179482386581674e+18
udon 3.555449006669298e+18
quinoa 9.127782415294332e+18
xylitol 3.068488933687823e+18
Store5 9
lemon 1.745089367277644e+18
xylitol 4.1119754471991337e+18
dates 8.983897343873633e+18
honey 4.620301132508374e+18
onion 5.055580757007196e+18
udon 4.355025737833885e+18
grapes 2.430741776692801e+18
watermelon 8.314053657195506e+18
flour 8.276994857319622e+18
Store6 9
xylitol 8.04988535416437e+18
honey 2.56542774852926e+18
watermelon 5.172097813730677e+18
grapes 6.983888577997952e+18
udon 8.311044749069104e+18
lemon 1.5235002541425715e+18
dates 1.5762107360145533e+18
flour 4.207289008521382e+18
onion 7.341692122162071e+17
Store7 8
udon 3.5686811164077276e+18
lemon 1.1701557287047058e+18
watermelon 7.618480825292294e+18
dates 9.376339768116641e+17
xylitol 3.1545601493047194e+18
honey 2.2008093864316152e+18
flour 1.8463748635003796e+18
onion 4.64525251899626e+18
Store8 7
udon 4.967355326172122e+18
flour 1.2699516084017697e+18
lemon 7.273917552118428e+18
onion 7.159353152639099e+18
quinoa 2.402554852748531e+18
honey 4.6077764742131727e+18
watermelon 6.403673855001478e+18
Store9 9
watermelon 5.011771714358228e+17
xylitol 8.682232283344082e+18
quinoa 9.608786434659645e+17
udon 9.302621972321004e+17
honey 7.469473584019777e+18
grapes 4.3222933290556047e+18
onion 3.091201297346329e+18
lemon 2.0455947259581335e+18
dates 4.521310529989587e+18
Store10 10
dates 8.292929942083816e+18
onion 1.0317756570273434e+18
xylitol 4.4882580841618826e+18
watermelon 3.8448324785641124e+18
quinoa 3.0305135180214205e+18
honey 1.0684369149164329e+18
flour 1.7736645907371246e+18
lemon 1.9287929414968307e+18
udon 6.011876055609003e+18
grapes 2.3816067591688433e+18
Store11 8
grapes 1.0716960067133786e+18
honey 1.369256608960002e+18
lemon 1.2262542515829112e+18
onion 2.703713993590768e+18
dates 1.353825821659253e+18
udon 4.0926818066821775e+18
xylitol 4.811520012657094e+18
flour 6.656262349971839e+18
Store12 8
udon 6.422124440826013e+18
xylitol 3.167832325898056e+18
watermelon 9.034981149254024e+18
dates 1.0047798237002196e+18
lemon 3.9345168614300355e+18
onion 2.026610672618047e+18
grapes 2.059843854718829e+18
quinoa 2.3458963074964547e+18
Store13 5
udon 8.283929461976923e+18
flour 1.142128714039988e+18
onion 2.815823802848114e+18
grapes 6.1396378674896e+18
lemon 8.179616823143633e+18
Store14 6
dates 5.267374170447264e+17
quinoa 4.327956724576965e+18
onion 3.1375946546013363e+18
xylitol 6.640806190411575e+18
honey 8.203747187912224e+18
watermelon 2.346027988925903e+18
Store15 5
watermelon 6.923997476177481e+18
xylitol 2.2259110905968056e+18
udon 3.722020527003286e+18
quinoa 3.8425891814014546e+18
flour 6.438454309966609e+18
